,Parameters,Mean Accuracy,Std Dev Accuracy
134,"{'C': 18.329807108324356, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9317597826513347,0.0035389278500519367
135,"{'C': 18.329807108324356, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.9315760857415345,0.003232749030481941
136,"{'C': 18.329807108324356, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9315760013801523,0.0019495442486763763
137,"{'C': 18.329807108324356, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9292798110979928,0.0016482328120387218
138,"{'C': 18.329807108324356, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9221161377840712,0.004163168961408202
139,"{'C': 18.329807108324356, 'gamma': 1.0, 'kernel': 'rbf'}",0.912197221726599,0.004778994932079962
140,"{'C': 29.76351441631318, 'gamma': 1e-06, 'kernel': 'rbf'}",0.4139421525565927,0.0032402547823973315
141,"{'C': 29.76351441631318, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.7237340203724302,0.008105892076896493
142,"{'C': 29.76351441631318, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.8802366589855628,0.007173998454315294
143,"{'C': 29.76351441631318, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.904942522481254,0.006175801930937031
144,"{'C': 29.76351441631318, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.9137589196343946,0.003248118715776053
145,"{'C': 29.76351441631318, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.9167896866522998,0.0026824253788554292
146,"{'C': 29.76351441631318, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.9193614433895053,0.0030366594656708536
147,"{'C': 29.76351441631318, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9230348332365287,0.0016948227902821697
148,"{'C': 29.76351441631318, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9263411667094801,0.0013677529164176387
149,"{'C': 29.76351441631318, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.927535133352146,0.001718061442377482
150,"{'C': 29.76351441631318, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.928820800817293,0.0016646465623376483
151,"{'C': 29.76351441631318, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9293719337273855,0.0016973481047271133
152,"{'C': 29.76351441631318, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9307494707377784,0.00223733856391937
153,"{'C': 29.76351441631318, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9305657316472867,0.0032263532188158135
154,"{'C': 29.76351441631318, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9315763810063722,0.003429364664454035
155,"{'C': 29.76351441631318, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.9313925153738072,0.003238148930205325
156,"{'C': 29.76351441631318, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9312086919219336,0.0018218386156872899
157,"{'C': 29.76351441631318, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9290047086305491,0.002448614215264289
158,"{'C': 29.76351441631318, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9199118592278486,0.004322213304627057
159,"{'C': 29.76351441631318, 'gamma': 1.0, 'kernel': 'rbf'}",0.9091662859859294,0.003970533016953258
160,"{'C': 48.32930238571752, 'gamma': 1e-06, 'kernel': 'rbf'}",0.6311538148427946,0.003811005466588352
161,"{'C': 48.32930238571752, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.8547035055950578,0.005307161621107945
162,"{'C': 48.32930238571752, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.899340336171672,0.0079096154019916
163,"{'C': 48.32930238571752, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.9111873316199537,0.0036982569356293553
164,"{'C': 48.32930238571752, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.915687631735571,0.003251645450114702
165,"{'C': 48.32930238571752, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.9184429166598124,0.0028672147407934868
166,"{'C': 48.32930238571752, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.921657338406827,0.002407829961041313
167,"{'C': 48.32930238571752, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9251472000668143,0.0014968293443014319
168,"{'C': 48.32930238571752, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9263412510708623,0.0018375672671285743
169,"{'C': 48.32930238571752, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9277186193584909,0.0013788002322779624
170,"{'C': 48.32930238571752, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.929096325091648,0.0013141842848461034
171,"{'C': 48.32930238571752, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9295554619144213,0.002655369735105252
172,"{'C': 48.32930238571752, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.931392388831734,0.002540617026849739
173,"{'C': 48.32930238571752, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9317596982899528,0.004092848587871197
174,"{'C': 48.32930238571752, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.931300730189944,0.004088664622614693
175,"{'C': 48.32930238571752, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.9315761279222254,0.002798366052459552
176,"{'C': 48.32930238571752, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9303822034602508,0.002436404505274893
177,"{'C': 48.32930238571752, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9263411667094801,0.003287743717625617
178,"{'C': 48.32930238571752, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9174319298551978,0.003837314503253606
179,"{'C': 48.32930238571752, 'gamma': 1.0, 'kernel': 'rbf'}",0.9076967528882174,0.004029829110388694
180,"{'C': 78.47599703514611, 'gamma': 1e-06, 'kernel': 'rbf'}",0.8079554892475092,0.00895374091048459
181,"{'C': 78.47599703514611, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.8927273317802402,0.006892202929454899
182,"{'C': 78.47599703514611, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.9084321732377857,0.004506220908660118
183,"{'C': 78.47599703514611, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.9143099260024137,0.0029246545778877104
184,"{'C': 78.47599703514611, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.9184430010211944,0.0034526369985252202
185,"{'C': 78.47599703514611, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.9205554522128624,0.003281732303470163
186,"{'C': 78.47599703514611, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.9242290529633411,0.0030186273337701715
187,"{'C': 78.47599703514611, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9271677817132364,0.0014853895046417092
188,"{'C': 78.47599703514611, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9271676551711631,0.0010214053264492422
189,"{'C': 78.47599703514611, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9281780514461018,0.0015419368561901859
190,"{'C': 78.47599703514611, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9290045820884757,0.0010594346970229142
191,"{'C': 78.47599703514611, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9299228979147133,0.0025067366738317476
192,"{'C': 78.47599703514611, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9300146830985767,0.0035041156764293144
193,"{'C': 78.47599703514611, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9321270921095535,0.003790934408718969
194,"{'C': 78.47599703514611, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9316679974674713,0.003401802334282583
195,"{'C': 78.47599703514611, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.930841340283024,0.002911498584982703
196,"{'C': 78.47599703514611, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9292798954593751,0.0017197532420892324
197,"{'C': 78.47599703514611, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9238612373368292,0.0032493487089904067
198,"{'C': 78.47599703514611, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9152275669375932,0.004137959136349878
199,"{'C': 78.47599703514611, 'gamma': 1.0, 'kernel': 'rbf'}",0.9037472482371633,0.004409550170307397
200,"{'C': 127.42749857031335, 'gamma': 1e-06, 'kernel': 'rbf'}",0.8802366589855628,0.007173998454315294
201,"{'C': 127.42749857031335, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.904942522481254,0.006175801930937031
202,"{'C': 127.42749857031335, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.9137589196343946,0.003248118715776053
203,"{'C': 127.42749857031335, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.9168815140168546,0.002628956541991269
204,"{'C': 127.42749857031335, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.9191777464797048,0.0030145239415377213
205,"{'C': 127.42749857031335, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.9230348754172197,0.0017420501624615295
206,"{'C': 127.42749857031335, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.9263412088901714,0.0014259473987360818
207,"{'C': 127.42749857031335, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.9268922996195723,0.0019881537872210686
208,"{'C': 127.42749857031335, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9276268763553184,0.0014627581364115565
209,"{'C': 127.42749857031335, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9290964094530303,0.0015729707356354596
210,"{'C': 127.42749857031335, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9293718071853121,0.0011005020076394483
211,"{'C': 127.42749857031335, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9306577277346058,0.0026740065776561673
212,"{'C': 127.42749857031335, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9314843005576708,0.0036758544687051408
213,"{'C': 127.42749857031335, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9319435217418264,0.0030350903200135715
